"Date","Site","Direction","Distance (m)","Diameter 1 (cm)","Diameter 2 (cm)","Top Moss 1 (cm)","Moss 2 (cm)","Moss 3 (cm)","Moss 4 (cm)","Average Diameter","Average Moss (cm)"
2016-06-30,Sev,East,2.8,21.3285,19.28,23,22,25,17,20.30425,21.75
2016-06-30,Sev,East,10.7,11.9295,14.46,4,16,8,14,13.19475,10.5
2016-06-30,Sev,East,15,20.967,14.8215,15,15,13,14,17.89425,14.25
2016-06-30,Sev,East,17.25,18.316,16.87,24,19,20,27,17.593,22.5
2016-06-30,Sev,East,23.65,18.6775,14.46,14,11,14,10,16.56875,12.25
2016-06-30,Sev,East,32.4,31.33,25.787,27,22,26,28,28.5585,25.75
2016-06-30,Sev,East,41.95,17.834,17.352,16,14,17,11,17.593,14.5
2016-06-30,Sev,East,45.7,20.726,16.147,22,24,16,22,18.4365,21
2016-06-30,Sev,East,49.55,20.244,13.737,15,9,19,18,16.9905,15.25
2016-06-30,Sev,East,51.75,26.751,22.172,15,11,20,31,24.4615,19.25
2016-06-30,Sev,East,58.3,20.485,27.233,30,27,30,25,23.859,28
2016-06-30,Sev,East,64.8,18.316,20.485,30,32,20,19,19.4005,25.25
2016-06-30,Sev,East,66.07,22.172,27.956,17,20,18,20,25.064,18.75
2016-06-30,Sev,East,96,32.535,26.992,30,32,31,33,29.7635,31.5
2016-06-30,Sev,North,5.8,13.2,15,13,28,23,12,14.1,19
2016-06-30,Sev,North,8.8,23.1,35.6,41,32,23,21,29.35,29.25
2016-06-30,Sev,North,15.1,32.5,28,13,18,18,24,30.25,18.25
2016-06-30,Sev,North,23.8,28,28.4,17,13,7,16,28.2,13.25
2016-06-30,Sev,North,25.3,28.5,24,22,23,25,18,26.25,22
2016-06-30,Sev,North,27.6,23.5,25.7,25,27,25,26,24.6,25.75
2016-06-30,Sev,North,33.6,38.5,35,20,40,36,25,36.75,30.25
2016-06-30,Sev,North,47.1,34.3,33,38,32,36,24,33.65,32.5
2016-06-30,Sev,North,52.7,23.136,26.51,6,17,18,20,24.823,15.25
2016-06-30,Sev,North,64.3,24.1,26.751,34,25,33,33,25.4255,31.25
2016-06-30,Sev,North,69.85,20.1235,18.798,23,18,23,24,19.46075,22
2016-06-30,Sev,North,78.9,16.87,21.3285,15,28,25,27,19.09925,23.75
2016-06-30,Sev,North,82.5,22.0515,15.665,13,15,16,17,18.85825,15.25
2016-06-30,Sev,North,93.2,20.726,24.582,25,25,33,33,22.654,29
2016-06-30,Sev,North,94.2,16.2675,19.521,12,10,8,9,17.89425,9.75
2016-06-30,Sev,North,97.4,15.906,19.521,29,30,28,30,17.7135,29.25
2016-06-30,Sev,South,0.2,23.377,20.244,24,18,21,20,21.8105,20.75
2016-06-30,Sev,South,2.75,15.5445,25.5942,26,27,23,24,20.56935,25
2016-06-30,Sev,South,4.35,13.3273,23.4975,19,30,29,31,18.4124,27.25
2016-06-30,Sev,South,4.85,27.715,26.3895,29,38,36,34,27.05225,34.25
2016-06-30,Sev,South,11.2,15.183,16.7495,24,23,19,20,15.96625,21.5
2016-06-30,Sev,South,15.9,34.8245,26.0762,32,29,25,26,30.45035,28
2016-06-30,Sev,South,28.4,20.485,24.341,22,22,30,24,22.413,24.5
2016-06-30,Sev,South,43.75,17.593,21.69,25,32,27,24,19.6415,27
2016-06-30,Sev,South,48.3,18.075,20.3645,12,10,13,4,19.21975,9.75
2016-06-30,Sev,South,53.8,14.46,20.003,17,10,16,11,17.2315,13.5
2016-06-30,Sev,South,73.15,26.751,17.2315,21,12,18,35,21.99125,21.5
2016-06-30,Sev,South,81.7,24.341,19.521,25,20,18,12,21.931,18.75
2016-06-30,Sev,South,86,13.014,16.87,21,23,17,15,14.942,19
2016-06-30,Sev,South,87.4,17.352,18.316,13,25,19,22,17.834,19.75
2016-06-30,Sev,West,1.4,23,27.5,28.5,24.5,25,23.5,25.25,25.375
2016-06-30,Sev,West,6.6,46.4,38.3,32,25,22,34,42.35,28.25
2016-06-30,Sev,West,8.1,17.1,17,17,22,25,15,17.05,19.75
2016-06-30,Sev,West,8.65,22,25,22,18,16,28,23.5,21
2016-06-30,Sev,West,9.8,27.3,33.1,16,22,18,19,30.2,18.75
2016-06-30,Sev,West,11.7,36.7,41.6,40,29,28,32,39.15,32.25
2016-06-30,Sev,West,14.2,25.7,22.9,31,28,22,23,24.3,26
2016-06-30,Sev,West,15.1,28,21,37,29,30,29,24.5,31.25
2016-06-30,Sev,West,18.35,14,11.4,23,15,14,18,12.7,17.5
2016-06-30,Sev,West,21.2,21.7,21.4,31,27,18,17,21.55,23.25
2016-06-30,Sev,West,21.8,22.5,34.5,33,36,24,36,28.5,32.25
2016-06-30,Sev,West,23,23.3,26.5,21,24,24,26,24.9,23.75
2016-06-30,Sev,West,25.4,21,23.6,29,31,28,23,22.3,27.75
2016-06-30,Sev,West,26.1,24.2,26.6,25,19,14,19,25.4,19.25
